시간,규모,진앙(km),위도,경도,위치
2015-12-11 01:25:17,2.1,14,36.90,126.58,충남 당진시 서북서쪽 5km 지역
2015-12-22 04:31:24,3.9,11,36.02,126.95,전북 익산시 북쪽 8km 지역
2016-01-06 20:39:04,3.0,7,36.01,128.07,경북 김천시 남쪽 14km 지역
2016-01-23 07:14:01,2.4,7,38.42,126.25,북한 황해북도 평산군 북서쪽 16km 지역
2016-01-25 18:40:20,2.3,20,36.22,128.69,경북 의성군 남쪽 14km 지역
2016-01-31 03:03:02,2.0,28,36.95,129.92,경북 울진군 동쪽 46 km 해역
2016-02-11 05:57:44,3.1,17,36.21,127.48,충남 금산군 북쪽 12km 지역
2016-02-24 23:22:12,2.9,20,33.52,125.92,제주 제주시 고산 북서쪽 34km 해역
2016-02-26 18:46:12,2.2,14,33.23,127.19,제주 서귀포시 성산 동남동쪽 34km 해역
2016-02-28 16:52:38,2.5,6,38.73,125.85,북한 황해북도 송림시 동쪽 19km 지역
2016-03-02 14:04:43,2.7,3,36.35,127.20,충남 공주시 남동쪽 13km 지역
2016-03-05 11:11:53,3.3,0,35.61,129.82,울산 동구 동북동쪽 38km 해역
2016-03-14 05:17:05,3.1,8,38.71,125.87,북한 황해북도 송림시 동쪽 21km 지역
2016-03-15 03:00:19,2.7,16,36.31,128.21,경북 상주시 남남동쪽 12km 지역
2016-03-15 03:38:34,2.5,13,37.60,129.82,강원 삼척시 동북동쪽 60km 해역
2016-03-27 14:52:53,2.3,12,35.33,130.04,울산 동구 동남동쪽 59km 해역
2016-03-27 18:28:35,3.1,7,39.38,126.06,북한 평안남도 성천시 북서쪽 20km 지역
2016-03-28 14:34:21,2.9,13,35.22,127.96,경남 진주시 서북서쪽 12km 지역
2016-04-13 05:28:39,2.1,17,35.92,127.93,경북 김천시 남남서쪽 28km 지역
2016-04-21 15:53:45,2.7,18,33.52,125.92,제주 제주시 고산 북서쪽 34km 해역
2016-04-21 15:55:04,2.7,10,33.53,125.89,제주 제주시 고산 북서쪽 36km 해역
2016-04-25 11:42:52,2.3,22,33.51,125.91,제주 제주시 고산 북서쪽 34km 해역
2016-04-27 19:27:00,2.3,15,35.57,128.34,경남 합천군 동쪽 16km 지역
2016-04-28 10:16:43,2.4,10,35.42,128.56,경남 창녕군 남남동쪽 15km 지역
2016-04-30 22:46:41,2.6,19,37.75,125.40,북한 황해남도 옹진군 남쪽 20km 지역
2016-05-03 03:29:09,2.4,2,37.11,129.02,강원 태백시 남남동쪽 7km 지역
2016-05-22 01:22:47,3.5,21,40.68,127.15,북한 함경남도 장진군 북북서쪽 34km 지역
2016-05-24 04:52:21,2.3,16,33.61,125.56,제주 제주시 고산 서북서쪽 66km 해역
2016-06-03 04:53:38,3.0,10,36.39,127.92,경북 상주시 서쪽 22km 지역
