연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계
1907,,,,,,,,,,0,0,0,
1908,0,0,0,0,0,0,3,0,0,0,0,0,3
1909,0,0,0,0,0,0,2,3,0,0,0,0,5
1910,0,0,0,0,0,0,3,0,0,0,0,0,3
1911,0,0,0,0,0,0,1,2,0,0,0,0,3
1912,0,0,0,0,0,0,1,0,0,0,0,0,1
1913,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,5,3,1,0,0,0,9
1915,0,0,0,0,0,0,5,0,0,0,0,0,5
1916,0,0,0,0,0,0,0,2,0,0,0,0,2
1917,0,0,0,0,0,0,0,1,0,0,0,0,1
1918,0,0,0,0,0,0,1,0,0,0,0,0,1
1919,0,0,0,0,0,0,0,5,0,0,0,0,5
1920,0,0,0,0,0,0,1,1,0,0,0,0,2
1921,0,0,0,0,0,0,0,4,0,0,0,0,4
1922,0,0,0,0,0,0,2,3,0,0,0,0,5
1923,0,0,0,0,0,0,0,5,0,0,0,0,5
1924,0,0,0,0,0,0,3,8,0,0,0,0,11
1925,0,0,0,0,0,0,1,0,0,0,0,0,1
1926,0,0,0,0,0,0,2,3,0,0,0,0,5
1927,0,0,0,0,0,0,5,1,0,0,0,0,6
1928,0,0,0,0,0,0,1,1,0,0,0,0,2
1929,0,0,0,0,0,0,7,6,0,0,0,0,13
1930,0,0,0,0,0,0,6,10,0,0,0,0,16
1931,0,0,0,0,0,0,0,4,0,0,0,0,4
1932,0,0,0,0,0,0,10,2,0,0,0,0,12
1933,0,0,0,0,0,0,2,0,0,0,0,0,2
1934,0,0,0,0,0,0,0,1,0,0,0,0,1
1935,0,0,0,0,0,0,2,0,2,0,0,0,4
1936,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,1,6,0,0,0,0,7
1938,0,0,0,0,0,0,0,3,0,0,0,0,3
1939,0,0,0,0,0,0,9,4,0,0,0,0,13
1940,0,0,0,0,0,0,0,2,0,0,0,0,2
1941,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,2,2,0,0,0,0,4
1943,0,0,0,0,0,0,3,2,0,0,0,0,5
1944,0,0,0,0,0,0,2,2,0,0,0,0,4
1945,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,1,2,0,0,0,0,3
1947,0,0,0,0,0,0,0,2,0,0,0,0,2
1948,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,3,0,0,0,0,3
1950,0,0,0,0,0,0,4,7,0,0,0,0,11
1951,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,2,0,0,0,0,0,2
1953,0,0,0,0,0,0,4,8,0,0,0,0,12
1954,0,0,0,0,0,0,0,2,0,0,0,0,2
1955,0,0,0,0,0,0,2,0,0,0,0,0,2
1956,0,0,0,0,0,0,3,3,0,0,0,0,6
1957,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,1,0,0,0,0,0,1
1959,0,0,0,0,0,0,0,3,0,0,0,0,3
1960,0,0,0,0,0,0,2,1,0,0,0,0,3
1961,0,0,0,0,0,0,4,4,0,0,0,0,8
1962,0,0,0,0,0,0,4,0,0,0,0,0,4
1963,0,0,0,0,0,0,1,1,0,0,0,0,2
1964,0,0,0,0,0,0,0,6,0,0,0,0,6
1965,0,0,0,0,0,0,0,1,0,0,0,0,1
1966,0,0,0,0,0,0,2,5,0,0,0,0,7
1967,0,0,0,0,0,0,7,12,0,0,0,0,19
1968,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,1,3,0,0,0,0,4
1970,0,0,0,0,0,0,0,1,0,0,0,0,1
1971,0,0,0,0,0,0,1,1,0,0,0,0,2
1972,0,0,0,0,0,0,4,0,0,0,0,0,4
1973,0,0,0,0,0,0,6,1,0,0,0,0,7
