연도,강수량(mm),강수일수
1961,224.2,12.2
1962,194.3,14.4
1963,542.6,22.8
1964,258.8,14
1965,498.5,20.4
1966,401.3,19.4
1967,301.9,15.9
1968,180.1,10.6
1969,550.2,28.6
1970,476.8,21.8
1971,356.8,19.1
1972,227.5,9.6
1973,75.4,4.5
1974,464,25
1975,378.5,18.2
1976,106.7,14.1
1977,173.5,12.5
1978,480.8,21.4
1979,353.8,18.9
1980,467,23.9
1981,387.8,18.2
1982,190.1,10.3
1983,340.2,17.7
1984,338.5,16.8
1985,384.5,16.1
1986,359.4,20.6
1987,583,22.2
1988,380.3,18.3
1989,405.7,17
1990,514.5,23.2
1991,456.6,23.3
1992,173.2,9.9
1993,382.9,20
1994,136,7.9
1995,213.4,14.1
1996,309.3,15.2
1997,442.9,14
1998,429.3,20.7
1999,196.3,8.5
2000,234.7,12.8
2001,388.5,17.4
2002,261.7,14.8
2003,541.6,22.2
2004,320.8,14.7
2005,314.4,15
2006,704,27
2007,317.4,20.8
2008,379.1,19.8
2009,560.4,21.3
2010,287.9,20.2
2011,600.9,19.1
2012,305.1,13.9
2013,427.5,25.2
2014,146.2,14.7
2015,240.2,17.7
2016,341.1,16.1
2017,296.7,16.9
2018,292.7,10.8
2019,299.7,16.4
2020,696,28.5
2021,227.5,9.9
2022,284.1,16.9
2023,663.3,22.2
2024,472,21.4
2025,201.1,8.9
