일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 1960-01,-3.3,0.6,-7.6,4.6
 1960-02,1.7,6.4,-2.7,4
 1960-03,6.7,12,1.9,113.6
 1960-04,10.6,16.7,5.5,19
 1960-05,16.5,21.9,11.9,135.4
 1960-06,20.6,25.4,16.7,296.9
 1960-07,24.8,28.9,21.9,313.2
 1960-08,26.2,31.2,22.5,138.1
 1960-09,20.8,25.4,16.9,63.5
 1960-10,15.1,21.1,9.9,7.9
 1960-11,7.1,11.7,2.3,76.5
 1960-12,-1.8,2.3,-6.2,15.7
 1961-01,-5.2,-1.2,-9.6,18
 1961-02,-0.9,3.8,-5.3,8.8
 1961-03,5.4,11,0.7,40.8
 1961-04,11.7,17.4,6.5,102.2
 1961-05,17.3,22.9,11.8,123.6
 1961-06,21.9,26.7,17.6,77.7
 1961-07,26.2,30.1,23.3,267.8
 1961-08,26.8,31,23.5,360.6
 1961-09,21.5,26.2,17.1,295.1
 1961-10,15.6,20.8,10.8,48.6
 1961-11,8.9,13.6,4.7,57.8
 1961-12,-0.6,3.5,-4.5,35.6
 1962-01,-3.4,0.9,-7.3,1.2
 1962-02,-0.7,4.2,-4.8,25.7
 1962-03,3.2,7.9,-1,18.5
 1962-04,10,15.1,4.9,91.6
 1962-05,17.6,23.8,11.5,12.5
 1962-06,21.1,26.4,16.3,110.3
 1962-07,26.1,30.5,22.2,180
 1962-08,25.1,29.2,22.4,193.2
 1962-09,20.3,24.7,16.3,236.4
 1962-10,13.6,18.9,8,36.8
 1962-11,6.4,10.5,2.2,52.2
 1962-12,1.1,5.5,-3,27.8
 1963-01,-9.1,-4.8,-13,13.3
 1963-02,-2.4,2.4,-6.5,2.6
 1963-03,5.5,11.4,0.6,57.3
 1963-04,11.4,15.7,7.3,221.1
 1963-05,16.9,21.8,12.7,186.7
 1963-06,21.2,26,17.2,383.7
 1963-07,24.5,28,21.8,513.6
 1963-08,25.7,30.1,22.5,126.5
 1963-09,20.5,25.5,16.2,50.1
 1963-10,13.5,19.5,8,32.1
 1963-11,6.5,11.3,2.2,26.8
 1963-12,0.8,5.1,-3.1,12.8
 1964-01,-0.1,3.8,-3.5,20.3
 1964-02,-3.5,0.4,-7,27.1
 1964-03,3.8,8.5,0.1,37.3
 1964-04,14.1,18.6,10.1,338.8
 1964-05,18.6,24.2,13.7,83.3
 1964-06,21.6,26.5,17.6,112.5
 1964-07,24.7,28.3,22,504.5
 1964-08,26.3,30.4,23.3,220.3
 1964-09,20.3,24.6,16.6,378.9
 1964-10,13.8,19.2,9.3,40.6
 1964-11,6.3,11,2.1,25.2
 1964-12,0.2,4.7,-3.6,5.2
 1965-01,-4.2,-0.1,-7.9,19.1
 1965-02,-1.2,3.2,-5.2,2.4
 1965-03,2.7,7.8,-1.7,16.8
 1965-04,10.3,15.8,5.5,10.4
 1965-05,17.3,23.4,12.4,11.6
 1965-06,22.1,28.7,17.2,23.8
 1965-07,24.1,28.3,20.8,631.6
 1965-08,24.4,28.4,21.4,319.4
 1965-09,20.9,26.7,15.8,27
 1965-10,14.8,20.9,9.7,63.7
 1965-11,7,11.3,2.7,85
 1965-12,-2,2.4,-6.2,5.5
 1966-01,-4.6,0.1,-9,9.7
 1966-02,0.1,4.8,-4.4,29.4
 1966-03,4.8,9.2,1.3,90.5
 1966-04,11.8,17.6,7,35.7
 1966-05,18.3,24.1,12.9,37.1
 1966-06,20.5,25.4,16.4,179.8
 1966-07,23.6,26.9,21.2,897.7
 1966-08,26.7,31.2,23.3,272.8
 1966-09,19.7,24.7,15.5,302.8
 1966-10,14.4,19.5,10.2,74.9
 1966-11,5.9,10.7,1.4,81.6
 1966-12,-3,1.3,-6.7,6.9
 1967-01,-4.4,0.3,-8.5,24.7
 1967-02,-2.4,1.4,-5.7,54.6
 1967-03,4.8,9.7,0.8,88.2
 1967-04,11.8,17.3,7.3,93.3
 1967-05,19.3,25.7,14.2,59.6
 1967-06,21.3,26.3,17.5,135.3
 1967-07,25.5,29.6,22.5,283.8
 1967-08,26.7,30.5,24.1,261.8
 1967-09,20.7,26,16.3,158.1
 1967-10,14.5,20.4,9.2,26.5
 1967-11,6.5,11.4,2.6,53.3
 1967-12,-4.9,-1.1,-8.2,9.6
 1968-01,-4,0.1,-7.7,11.3
 1968-02,-4.4,0.7,-8.4,12.5
