일자,계(명),국내발생(명),해외유입(명),사망,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상
누적(명),"34,572,554 ","34,492,629 ","79,925 ","35,605 ","3,270,282 ","4,246,977 ","5,001,143 ","5,077,726 ","5,237,546 ","4,531,012 ","3,898,836 ","2,056,083 ","1,252,949 "
2020-01-20,1 ,-,1 ,-,-,-,-,1 ,-,-,-,-,-
2020-01-21,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-22,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-23,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-24,1 ,-,1 ,-,-,-,-,-,-,1 ,-,-,-
2020-01-25,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-26,1 ,-,1 ,-,-,-,-,-,-,1 ,-,-,-
2020-01-27,1 ,-,1 ,-,-,-,-,-,-,1 ,-,-,-
2020-01-28,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-29,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-30,3 ,1 ,2 ,-,-,-,1 ,1 ,-,1 ,-,-,-
2020-01-31,4 ,3 ,1 ,-,-,-,2 ,-,-,1 ,1 ,-,-
2020-02-01,1 ,-,1 ,-,-,-,-,-,1 ,-,-,-,-
2020-02-02,3 ,1 ,2 ,-,-,-,1 ,-,2 ,-,-,-,-
2020-02-03,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-04,1 ,-,1 ,-,-,-,-,-,1 ,-,-,-,-
2020-02-05,5 ,3 ,2 ,-,-,-,1 ,2 ,1 ,1 ,-,-,-
2020-02-06,3 ,1 ,2 ,-,-,-,1 ,-,1 ,1 ,-,-,-
2020-02-07,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-08,0 ,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-09,3 ,1 ,2 ,-,-,-,-,1 ,-,1 ,-,1 ,-
